brand,model,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,engine_size,car_age,age_range,milage_range
Ford,Other,51000.0,E85 Flex Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300.0,300.0,12,10–12,50K–75K
Hyundai,Other,34742.0,Gasoline,8-Speed Automatic,Other,Gray,At least 1 accident or damage reported,Yes,38005.0,3.8,4,4–6,25K–50K
Lexus,Other,22372.0,Gasoline,Automatic,Blue,Black,None reported,Unknown,54598.0,3.5,3,0–3,0–25K
INFINITI,Other,88900.0,Hybrid,7-Speed A/T,Black,Black,None reported,Yes,15500.0,354.0,10,10–12,75K–100K
Audi,Other,9835.0,Gasoline,8-Speed Automatic,Other,Black,None reported,Unknown,34999.0,2.0,4,4–6,0–25K
Acura,Other,136397.0,Gasoline,F,Silver,Other,None reported,Unknown,14798.0,2.4,9,7–9,100K–150K
Audi,Other,84000.0,Gasoline,6-Speed A/T,Blue,Black,None reported,Yes,31000.0,292.0,8,7–9,75K–100K
BMW,Other,242000.0,Gasoline,A/T,Other,Other,None reported,Yes,7300.0,282.0,24,,150K+
Lexus,Other,23436.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,41927.0,311.0,4,4–6,0–25K
Tesla,Other,34000.0,Gasoline,A/T,Black,Black,None reported,Yes,69950.0,534.0,5,4–6,25K–50K
Land,Other,27608.0,Gasoline,Automatic,Other,Other,None reported,Unknown,73897.0,6.0,4,4–6,25K–50K
Aston,Other,22770.0,Gasoline,8-Speed A/T,Silver,Black,None reported,Yes,184606.0,715.0,6,4–6,0–25K
Toyota,Other,12500.0,Gasoline,A/T,Other,Black,None reported,Yes,53500.0,382.0,4,4–6,0–25K
Lincoln,Other,18196.0,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000.0,400.0,3,0–3,0–25K
Jaguar,Other,15903.0,Gasoline,Automatic,Silver,Black,None reported,Unknown,47998.0,2.0,5,4–6,0–25K
Land,Other,79800.0,Gasoline,A/T,White,Black,None reported,Yes,29990.0,375.0,12,10–12,75K–100K
Mercedes-Benz,Other,1685.0,Gasoline,9-Speed Automatic,Gray,Other,None reported,Yes,250000.0,2.0,4,4–6,0–25K
Dodge,Other,61074.0,Gasoline,A/T,Black,Gray,None reported,Yes,16800.0,305.0,12,10–12,50K–75K
Nissan,Other,74000.0,Gasoline,6-Speed M/T,Other,Black,None reported,Yes,11000.0,287.0,22,,50K–75K
Jaguar,Other,35250.0,Gasoline,8-Speed A/T,Other,Black,None reported,Yes,68750.0,550.0,7,7–9,25K–50K
Genesis,Other,5400.0,Gasoline,8-Speed A/T,Other,Beige,Unknown,Unknown,60000.0,375.0,2,0–3,0–25K
Chevrolet,Other,133510.0,E85 Flex Fuel,A/T,Blue,Black,None reported,Yes,4500.0,120.0,25,,100K–150K
BMW,Other,25990.0,Gasoline,Automatic,White,Beige,None reported,Unknown,38598.0,3.0,5,4–6,25K–50K
Ford,F-150 XLT,2823.0,Gasoline,Automatic,Other,Black,None reported,Yes,58504.0,3.5,2,0–3,0–25K
Chevrolet,Other,52000.0,Gasoline,10-Speed A/T,Blue,Black,None reported,Yes,61000.0,355.0,4,4–6,50K–75K
Hyundai,Other,11650.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300.0,276.0,3,0–3,0–25K
